text,label
You owe me $4945 bucks,O O O B-MONEY I-MONEY
You owe me $2881 bucks,O O O B-MONEY I-MONEY
The item costs $531 dollars,O O O B-MONEY I-MONEY
The subscription fee is $3406 per month,O O O O B-MONEY O O
The subscription fee is 3821 pounds per month,O O O O B-MONEY I-MONEY O O
You owe me $1027 euros,O O O B-MONEY I-MONEY
I just spent 4639 bucks on food,O O O B-MONEY I-MONEY O O
She paid $1973 bucks for the ticket,O O B-MONEY I-MONEY O O O
Total balance: 2863 dollars,O O B-MONEY I-MONEY
Fine imposed was SGD 4947,O O O B-MONEY I-MONEY
Total balance: 3569 dollars,O O B-MONEY I-MONEY
The subscription fee is $5000 dollars per month,O O O O B-MONEY I-MONEY O O
Total balance: 2134 euros,O O B-MONEY I-MONEY
The item costs 178 rupees,O O O B-MONEY I-MONEY
You owe me SGD 51,O O O B-MONEY I-MONEY
We received 537 pounds in cash,O O B-MONEY I-MONEY O O
I just spent 3594 bucks on food,O O O B-MONEY I-MONEY O O
This phone was bought for 4132 bucks,O O O O O B-MONEY I-MONEY
The subscription fee is 1508 bucks per month,O O O O B-MONEY I-MONEY O O
Total balance: €4973,O O B-MONEY
She paid $3378 pounds for the ticket,O O B-MONEY I-MONEY O O O
The item costs €3352,O O O B-MONEY
I just spent 2608 dollars on food,O O O B-MONEY I-MONEY O O
This phone was bought for SGD 4015,O O O O O B-MONEY I-MONEY
We received 1493 pounds in cash,O O B-MONEY I-MONEY O O
I just spent $2626 dollars on food,O O O B-MONEY I-MONEY O O
They donated $4057 pounds to charity,O O B-MONEY I-MONEY O O
This phone was bought for 500 bucks,O O O O O B-MONEY I-MONEY
Fine imposed was 2444 euros,O O O B-MONEY I-MONEY
We received $1260 dollars in cash,O O B-MONEY I-MONEY O O
The subscription fee is 2644 bucks per month,O O O O B-MONEY I-MONEY O O
Total balance: $653 dollars,O O B-MONEY I-MONEY
Total balance: 334 dollars,O O B-MONEY I-MONEY
Total balance: 2882 euros,O O B-MONEY I-MONEY
The item costs $1442 euros,O O O B-MONEY I-MONEY
You owe me $3734 dollars,O O O B-MONEY I-MONEY
The item costs 3264 dollars,O O O B-MONEY I-MONEY
We received $981 dollars in cash,O O B-MONEY I-MONEY O O
I just spent $2604 on food,O O O B-MONEY O O
The subscription fee is 2838 bucks per month,O O O O B-MONEY I-MONEY O O
You owe me 1826 euros,O O O B-MONEY I-MONEY
The item costs $1618,O O O B-MONEY
The item costs $3419 dollars,O O O B-MONEY I-MONEY
They donated $3528 dollars to charity,O O B-MONEY I-MONEY O O
They donated 3315 pounds to charity,O O B-MONEY I-MONEY O O
I just spent ¥4377 on food,O O O B-MONEY O O
You owe me $872,O O O B-MONEY
The subscription fee is $2886 dollars per month,O O O O B-MONEY I-MONEY O O
This phone was bought for $1658 pounds,O O O O O B-MONEY I-MONEY
Total balance: 3074 yen,O O B-MONEY I-MONEY
The subscription fee is 534 bucks per month,O O O O B-MONEY I-MONEY O O
We received $4631 yen in cash,O O B-MONEY I-MONEY O O
Fine imposed was 1469 yen,O O O B-MONEY I-MONEY
Total balance: 3269 dollars,O O B-MONEY I-MONEY
We received $3876 yen in cash,O O B-MONEY I-MONEY O O
We received 1609 yen in cash,O O B-MONEY I-MONEY O O
She paid $1285 euros for the ticket,O O B-MONEY I-MONEY O O O
You owe me 2389 rupees,O O O B-MONEY I-MONEY
The item costs $1702 pounds,O O O B-MONEY I-MONEY
Total balance: $2031 rupees,O O B-MONEY I-MONEY
I just spent €3284 on food,O O O B-MONEY O O
We received $4814 bucks in cash,O O B-MONEY I-MONEY O O
You owe me $3539 yen,O O O B-MONEY I-MONEY
You owe me €3248,O O O B-MONEY
You owe me 4106 rupees,O O O B-MONEY I-MONEY
Total balance: USD 4480,O O B-MONEY I-MONEY
She paid $4412 bucks for the ticket,O O B-MONEY I-MONEY O O O
They donated 3475 dollars to charity,O O B-MONEY I-MONEY O O
You owe me $1246 yen,O O O B-MONEY I-MONEY
The subscription fee is 3128 bucks per month,O O O O B-MONEY I-MONEY O O
She paid $2978 dollars for the ticket,O O B-MONEY I-MONEY O O O
We received 3725 dollars in cash,O O B-MONEY I-MONEY O O
Fine imposed was SGD 2016,O O O B-MONEY I-MONEY
Total balance: 4594 yen,O O B-MONEY I-MONEY
This phone was bought for $1085 bucks,O O O O O B-MONEY I-MONEY
I just spent 4077 dollars on food,O O O B-MONEY I-MONEY O O
Total balance: 520 dollars,O O B-MONEY I-MONEY
We received 679 bucks in cash,O O B-MONEY I-MONEY O O
They donated ¥4217 to charity,O O B-MONEY O O
I just spent $877 on food,O O O B-MONEY O O
Fine imposed was $2738 euros,O O O B-MONEY I-MONEY
The subscription fee is €3032 per month,O O O O B-MONEY O O
You owe me 1703 yen,O O O B-MONEY I-MONEY
You owe me SGD 424,O O O B-MONEY I-MONEY
The subscription fee is $3269 dollars per month,O O O O B-MONEY I-MONEY O O
Total balance: $922 pounds,O O B-MONEY I-MONEY
This phone was bought for 2794 pounds,O O O O O B-MONEY I-MONEY
The item costs 4417 pounds,O O O B-MONEY I-MONEY
They donated 177 yen to charity,O O B-MONEY I-MONEY O O
This phone was bought for SGD 3467,O O O O O B-MONEY I-MONEY
The subscription fee is $1641 bucks per month,O O O O B-MONEY I-MONEY O O
We received 2822 pounds in cash,O O B-MONEY I-MONEY O O
She paid 1439 rupees for the ticket,O O B-MONEY I-MONEY O O O
The item costs $1065,O O O B-MONEY
She paid 4606 bucks for the ticket,O O B-MONEY I-MONEY O O O
They donated €2631 to charity,O O B-MONEY O O
I just spent $2886 dollars on food,O O O B-MONEY I-MONEY O O
This phone was bought for £2422,O O O O O B-MONEY
Fine imposed was SGD 2199,O O O B-MONEY I-MONEY
The item costs ¥4550,O O O B-MONEY
We received S$2441 in cash,O O B-MONEY O O
You owe me S$3515,O O O B-MONEY
I just spent $4351 yen on food,O O O B-MONEY I-MONEY O O
I just spent $2306 dollars on food,O O O B-MONEY I-MONEY O O
The item costs $2332,O O O B-MONEY
I just spent USD 1963 on food,O O O B-MONEY I-MONEY O O
The item costs 3330 bucks,O O O B-MONEY I-MONEY
The subscription fee is €657 per month,O O O O B-MONEY O O
The item costs £3255,O O O B-MONEY
Total balance: €2404,O O B-MONEY
This phone was bought for $3849 euros,O O O O O B-MONEY I-MONEY
They donated USD 720 to charity,O O B-MONEY I-MONEY O O
The item costs 4576 rupees,O O O B-MONEY I-MONEY
She paid ¥781 for the ticket,O O B-MONEY O O O
The item costs $4738 euros,O O O B-MONEY I-MONEY
You owe me 1895 euros,O O O B-MONEY I-MONEY
We received $4125 dollars in cash,O O B-MONEY I-MONEY O O
They donated S$3535 to charity,O O B-MONEY O O
You owe me 3756 rupees,O O O B-MONEY I-MONEY
Total balance: USD 2980,O O B-MONEY I-MONEY
Fine imposed was $4255 pounds,O O O B-MONEY I-MONEY
Fine imposed was $2170 bucks,O O O B-MONEY I-MONEY
Total balance: $4433 pounds,O O B-MONEY I-MONEY
They donated 4228 euros to charity,O O B-MONEY I-MONEY O O
This phone was bought for £4773,O O O O O B-MONEY
The item costs $990 dollars,O O O B-MONEY I-MONEY
This phone was bought for 1783 pounds,O O O O O B-MONEY I-MONEY
They donated 4721 bucks to charity,O O B-MONEY I-MONEY O O
You owe me $1627 dollars,O O O B-MONEY I-MONEY
This phone was bought for $224 dollars,O O O O O B-MONEY I-MONEY
We received 3547 pounds in cash,O O B-MONEY I-MONEY O O
The subscription fee is 3383 bucks per month,O O O O B-MONEY I-MONEY O O
Fine imposed was 551 euros,O O O B-MONEY I-MONEY
The item costs SGD 1199,O O O B-MONEY I-MONEY
This phone was bought for ¥3934,O O O O O B-MONEY
This phone was bought for ¥4552,O O O O O B-MONEY
She paid 367 euros for the ticket,O O B-MONEY I-MONEY O O O
She paid $1326 rupees for the ticket,O O B-MONEY I-MONEY O O O
They donated 2533 rupees to charity,O O B-MONEY I-MONEY O O
The item costs 108 dollars,O O O B-MONEY I-MONEY
We received $355 rupees in cash,O O B-MONEY I-MONEY O O
Fine imposed was 2547 bucks,O O O B-MONEY I-MONEY
The subscription fee is 4112 dollars per month,O O O O B-MONEY I-MONEY O O
The subscription fee is 1452 bucks per month,O O O O B-MONEY I-MONEY O O
The subscription fee is £1538 per month,O O O O B-MONEY O O
She paid $1190 yen for the ticket,O O B-MONEY I-MONEY O O O
She paid 1943 yen for the ticket,O O B-MONEY I-MONEY O O O
She paid ¥3416 for the ticket,O O B-MONEY O O O
Fine imposed was $3016 dollars,O O O B-MONEY I-MONEY
The item costs $2245 bucks,O O O B-MONEY I-MONEY
I just spent $4583 on food,O O O B-MONEY O O
She paid SGD 4126 for the ticket,O O B-MONEY I-MONEY O O O
I just spent $1067 bucks on food,O O O B-MONEY I-MONEY O O
The item costs €2805,O O O B-MONEY
They donated 3100 dollars to charity,O O B-MONEY I-MONEY O O
She paid 1126 euros for the ticket,O O B-MONEY I-MONEY O O O
Total balance: SGD 4732,O O B-MONEY I-MONEY
Total balance: 566 pounds,O O B-MONEY I-MONEY
I just spent $4548 dollars on food,O O O B-MONEY I-MONEY O O
We received S$3608 in cash,O O B-MONEY O O
She paid $3443 euros for the ticket,O O B-MONEY I-MONEY O O O
We received $4880 dollars in cash,O O B-MONEY I-MONEY O O
Total balance: $1390 yen,O O B-MONEY I-MONEY
Total balance: 3952 euros,O O B-MONEY I-MONEY
She paid $153 pounds for the ticket,O O B-MONEY I-MONEY O O O
You owe me 2712 bucks,O O O B-MONEY I-MONEY
Total balance: $3386 bucks,O O B-MONEY I-MONEY
They donated $940 to charity,O O B-MONEY O O
Fine imposed was 2177 pounds,O O O B-MONEY I-MONEY
They donated USD 4561 to charity,O O B-MONEY I-MONEY O O
The item costs 214 dollars,O O O B-MONEY I-MONEY
This phone was bought for 4852 bucks,O O O O O B-MONEY I-MONEY
The subscription fee is $4252 rupees per month,O O O O B-MONEY I-MONEY O O
This phone was bought for $3602 yen,O O O O O B-MONEY I-MONEY
I just spent $250 pounds on food,O O O B-MONEY I-MONEY O O
This phone was bought for $360 yen,O O O O O B-MONEY I-MONEY
They donated 444 rupees to charity,O O B-MONEY I-MONEY O O
I just spent 1963 bucks on food,O O O B-MONEY I-MONEY O O
She paid $575 rupees for the ticket,O O B-MONEY I-MONEY O O O
I just spent 4824 dollars on food,O O O B-MONEY I-MONEY O O
This phone was bought for $2077 rupees,O O O O O B-MONEY I-MONEY
You owe me SGD 718,O O O B-MONEY I-MONEY
The subscription fee is USD 4029 per month,O O O O B-MONEY I-MONEY O O
She paid SGD 1045 for the ticket,O O B-MONEY I-MONEY O O O
The subscription fee is 2330 bucks per month,O O O O B-MONEY I-MONEY O O
I just spent $796 pounds on food,O O O B-MONEY I-MONEY O O
This phone was bought for €4925,O O O O O B-MONEY
We received £1023 in cash,O O B-MONEY O O
Fine imposed was $4120 euros,O O O B-MONEY I-MONEY
She paid $1651 rupees for the ticket,O O B-MONEY I-MONEY O O O
Total balance: $3740,O O B-MONEY
We received $1407 pounds in cash,O O B-MONEY I-MONEY O O
This phone was bought for SGD 314,O O O O O B-MONEY I-MONEY
Fine imposed was $4612,O O O B-MONEY
The item costs 4487 dollars,O O O B-MONEY I-MONEY
